DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2013,4109,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2014,3904,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2015,15413,b,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2016,14822,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2017,17616,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2018,17547,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2019,18259,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2020,16209,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2021,19524,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2022,49414,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2011,60089,b,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2012,58200,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2013,57946,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2014,59013,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2015,64446,b,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2016,116867,b,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2017,112247,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2018,119489,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2019,129459,,
